round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,first_neuron,fourth_neuron,loss,optimizer,second_neuron,third_neuron
100,0.609448731,0.75,0.449045475,0.629629622,<function linear at 0x000001AA17118048>,10,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.609991431,0.75,0.444650939,0.629629622,<function linear at 0x000001AA17118048>,10,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.610200226,0.75,0.444630648,0.666666675,<function linear at 0x000001AA17118048>,10,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.610638022,0.75,0.445159743,0.629629652,<function linear at 0x000001AA17118048>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.610940874,0.75,0.446312166,0.70370371,<function linear at 0x000001AA17118048>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.611763,0.75,0.44582286,0.629629641,<function linear at 0x000001AA17118048>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.612878561,0.75,0.443830701,0.629629652,<function linear at 0x000001AA17118048>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.612932384,0.75,0.445962015,0.666666664,<function linear at 0x000001AA17118048>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.613573253,0.75,0.444523861,0.629629619,<function linear at 0x000001AA17118048>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.61378932,0.75,0.446012553,0.703703688,<function linear at 0x000001AA17118048>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.614159048,0.75,0.445157574,0.70370371,<function linear at 0x000001AA17118048>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.614437878,0.75,0.447851876,0.629629652,<function linear at 0x000001AA17118048>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.614557683,0.75,0.447011465,0.629629641,<function linear at 0x000001AA17118048>,10,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.614664853,0.75,0.444160891,0.629629641,<function linear at 0x000001AA17118048>,10,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.615483999,0.75,0.443575115,0.629629641,<function linear at 0x000001AA17118048>,10,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.615725994,0.75,0.445203874,0.666666664,<function linear at 0x000001AA17118048>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.616625428,0.75,0.445811158,0.629629641,<function linear at 0x000001AA17118048>,10,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.617532909,0.75,0.448200957,0.629629633,<function linear at 0x000001AA17118048>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.617678881,0.75,0.444657728,0.62962963,<function linear at 0x000001AA17118048>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.617978394,0.75,0.446348506,0.62962963,<function linear at 0x000001AA17118048>,10,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.617995739,0.75,0.444738486,0.666666675,<function linear at 0x000001AA17118048>,10,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.618080616,0.75,0.444942405,0.629629633,<function linear at 0x000001AA17118048>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.618458927,0.75,0.450048502,0.62962963,<function linear at 0x000001AA17118048>,10,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.619457185,0.75,0.446200047,0.666666675,<function linear at 0x000001AA17118048>,10,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.619490147,0.75,0.445322335,0.629629652,<function linear at 0x000001AA17118048>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.620523334,0.75,0.450197337,0.555555571,<function linear at 0x000001AA17118048>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.62070787,0.75,0.44561415,0.629629622,<function linear at 0x000001AA17118048>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.621480703,0.75,0.461899132,0.740740716,<function relu at 0x000001AA17107D08>,30,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.621722758,0.75,0.445570736,0.629629641,<function linear at 0x000001AA17118048>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.622132897,0.75,0.446308045,0.703703714,<function linear at 0x000001AA17118048>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.622904122,0.75,0.450777867,0.666666668,<function linear at 0x000001AA17118048>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.62300545,0.75,0.446307417,0.62962963,<function linear at 0x000001AA17118048>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.623060465,0.75,0.447564595,0.629629641,<function linear at 0x000001AA17118048>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
