round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,first_neuron,fourth_neuron,loss,optimizer,second_neuron,third_neuron
100,0.520222604,0.75,0.241376996,0.592592597,<function relu at 0x000001AA17107D08>,30,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.520397127,0.5,0.26393187,0.629629612,<function relu at 0x000001AA17107D08>,30,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.520848811,0.5,0.262765884,0.592592597,<function relu at 0x000001AA17107D08>,30,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.522069931,0.75,0.233124975,0.592592617,<function relu at 0x000001AA17107D08>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.522597075,0.5,0.339870334,0.481481493,<function relu at 0x000001AA17107D08>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.523103714,0.5,0.222951641,0.592592595,<function relu at 0x000001AA17107D08>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.523350596,0.5,0.2300578,0.592592576,<function relu at 0x000001AA17107D08>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.523465335,0.5,0.252575106,0.592592606,<function relu at 0x000001AA17107D08>,10,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.523467302,0.5,0.303670756,0.62962963,<function relu at 0x000001AA17107D08>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.52536881,0.5,0.279781562,0.518518514,<function relu at 0x000001AA17107D08>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.525890291,0.5,0.219975768,0.666666675,<function relu at 0x000001AA17107D08>,10,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.526084602,0.75,0.24074904,0.592592617,<function relu at 0x000001AA17107D08>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.52766186,0.5,0.238661705,0.592592595,<function relu at 0x000001AA17107D08>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.527938664,1,0.232795248,0.629629644,<function relu at 0x000001AA17107D08>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.52795285,0.5,0.397264642,0.629629619,<function relu at 0x000001AA17107D08>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.528307676,0.75,0.256719857,0.592592597,<function relu at 0x000001AA17107D08>,30,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.528395295,0.75,0.233093039,0.592592617,<function relu at 0x000001AA17107D08>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.528399825,0.5,0.227659912,0.629629644,<function relu at 0x000001AA17107D08>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.528404593,0.5,0.249987896,0.629629652,<function relu at 0x000001AA17107D08>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.52871263,0.75,0.235530123,0.592592597,<function relu at 0x000001AA17107D08>,30,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.529504895,0.5,0.221232022,0.592592595,<function relu at 0x000001AA17107D08>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.531247258,0.75,0.213759198,0.629629641,<function relu at 0x000001AA17107D08>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.531565785,0.5,0.233350388,0.666666675,<function relu at 0x000001AA17107D08>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.531673312,0.5,0.215184715,0.592592595,<function relu at 0x000001AA17107D08>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.53185463,0.5,0.2192958,0.592592606,<function relu at 0x000001AA17107D08>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.531960487,0.5,0.211525503,0.629629622,<function relu at 0x000001AA17107D08>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.532188773,0.5,0.246172039,0.592592606,<function relu at 0x000001AA17107D08>,20,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.532194674,0.5,0.229191095,0.62962963,<function relu at 0x000001AA17107D08>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.533187866,0.25,0.259126504,0.666666687,<function relu at 0x000001AA17107D08>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.533280492,0.5,0.221630985,0.629629641,<function relu at 0x000001AA17107D08>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.53368175,0.75,0.277647582,0.629629622,<function relu at 0x000001AA17107D08>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.534259498,1,0.241394446,0.629629652,<function relu at 0x000001AA17107D08>,20,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.534347296,0.75,0.228405317,0.592592595,<function relu at 0x000001AA17107D08>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.534702718,0.25,0.289679871,0.555555574,<function relu at 0x000001AA17107D08>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.534875274,0.5,0.23300451,0.592592597,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.534899771,0.75,0.226589504,0.629629644,<function relu at 0x000001AA17107D08>,10,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.534941077,0.75,0.25038855,0.592592606,<function relu at 0x000001AA17107D08>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.535795093,0.5,0.247546208,0.592592598,<function relu at 0x000001AA17107D08>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.536534667,0.5,0.232914038,0.592592595,<function relu at 0x000001AA17107D08>,10,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.536618233,0.5,0.247980118,0.592592597,<function relu at 0x000001AA17107D08>,30,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.536798,0.5,0.239663184,0.592592597,<function relu at 0x000001AA17107D08>,30,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.537151456,0.5,0.302253306,0.555555582,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.537395,0.5,0.229593829,0.592592617,<function relu at 0x000001AA17107D08>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.537465632,0.5,0.211503628,0.518518525,<function relu at 0x000001AA17107D08>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.537550807,0.75,0.222428075,0.592592606,<function relu at 0x000001AA17107D08>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.537748337,0.5,0.259968221,0.592592597,<function relu at 0x000001AA17107D08>,30,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.538060784,1,0.258646245,0.592592617,<function relu at 0x000001AA17107D08>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.538267434,0.5,0.243705824,0.592592597,<function relu at 0x000001AA17107D08>,30,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.539572239,0.5,0.249618739,0.666666687,<function relu at 0x000001AA17107D08>,30,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.539999783,0.5,0.267194629,0.592592597,<function relu at 0x000001AA17107D08>,30,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.540128291,1,0.232899284,0.518518539,<function relu at 0x000001AA17107D08>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.540333331,1,0.303264221,0.629629622,<function linear at 0x000001AA17118048>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.540573478,1,0.24077794,0.592592597,<function relu at 0x000001AA17107D08>,30,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.540598035,0.25,0.380822539,0.407407403,<function relu at 0x000001AA17107D08>,30,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.540652096,0.5,0.312017993,0.555555541,<function relu at 0x000001AA17107D08>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.541146278,0.5,0.241512802,0.592592617,<function relu at 0x000001AA17107D08>,20,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.541882634,0.5,0.243549888,0.592592576,<function relu at 0x000001AA17107D08>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.542389989,0.25,0.244114434,0.555555563,<function relu at 0x000001AA17107D08>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.54321295,0.5,0.236071902,0.629629652,<function relu at 0x000001AA17107D08>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.543230534,0.75,0.246213689,0.592592597,<function relu at 0x000001AA17107D08>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.54333663,0.25,0.228412324,0.629629619,<function relu at 0x000001AA17107D08>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.543528676,0.5,0.212792945,0.629629641,<function relu at 0x000001AA17107D08>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.544166028,0.5,0.22126797,0.592592595,<function relu at 0x000001AA17107D08>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.544290304,0.5,0.255134523,0.518518507,<function relu at 0x000001AA17107D08>,30,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.544813335,0.5,0.348548328,0.48148149,<function relu at 0x000001AA17107D08>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.545633435,0.5,0.222096002,0.629629641,<function relu at 0x000001AA17107D08>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.545671225,0.75,0.239807376,0.629629652,<function relu at 0x000001AA17107D08>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.545979857,0.5,0.215384248,0.629629644,<function relu at 0x000001AA17107D08>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.546372056,0.5,0.237618091,0.629629652,<function relu at 0x000001AA17107D08>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.546565592,0.5,0.233885125,0.592592606,<function relu at 0x000001AA17107D08>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.546625614,0.5,0.234316359,0.555555571,<function relu at 0x000001AA17107D08>,20,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.547556281,0.75,0.298331022,0.555555582,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.548231542,0.5,0.230491995,0.62962963,<function relu at 0x000001AA17107D08>,10,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.548387408,0.5,0.243309216,0.629629652,<function relu at 0x000001AA17107D08>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.548975468,0.5,0.207962622,0.629629641,<function relu at 0x000001AA17107D08>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.549225867,0.25,0.210394548,0.629629622,<function relu at 0x000001AA17107D08>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.549496889,0.5,0.245646561,0.555555571,<function relu at 0x000001AA17107D08>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.549501657,0.5,0.236930482,0.592592595,<function relu at 0x000001AA17107D08>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.549863636,0.5,0.257019818,0.592592597,<function relu at 0x000001AA17107D08>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.550702393,1,0.23851687,0.592592617,<function relu at 0x000001AA17107D08>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.550750136,0.75,0.249941126,0.629629612,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.551210105,0.75,0.256894212,0.592592617,<function relu at 0x000001AA17107D08>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.551264405,0.5,0.220596474,0.592592606,<function relu at 0x000001AA17107D08>,10,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.55208236,0.75,0.235310913,0.592592606,<function relu at 0x000001AA17107D08>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.552418649,0.5,0.204526046,0.592592606,<function relu at 0x000001AA17107D08>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.552441239,1,0.221960729,0.592592606,<function relu at 0x000001AA17107D08>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.552726686,0.5,0.254394705,0.592592606,<function relu at 0x000001AA17107D08>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.553076625,0.5,0.219204667,0.592592606,<function relu at 0x000001AA17107D08>,10,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.553080082,0.5,0.244798765,0.592592597,<function relu at 0x000001AA17107D08>,30,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.553298533,0.5,0.234344473,0.592592598,<function relu at 0x000001AA17107D08>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.553327739,0.5,0.254024535,0.592592597,<function relu at 0x000001AA17107D08>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.554160833,0.5,0.230777305,0.592592617,<function relu at 0x000001AA17107D08>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.554414272,0.75,0.249184623,0.592592597,<function relu at 0x000001AA17107D08>,30,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.55499357,0.75,0.235826075,0.629629652,<function relu at 0x000001AA17107D08>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.555852175,0.5,0.220471308,0.592592597,<function relu at 0x000001AA17107D08>,30,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.555853844,0.5,0.229618921,0.592592617,<function relu at 0x000001AA17107D08>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.556475163,0.5,0.245296628,0.592592606,<function relu at 0x000001AA17107D08>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.556516588,0.5,0.238770171,0.592592606,<function relu at 0x000001AA17107D08>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.556836843,0.5,0.245226207,0.592592606,<function relu at 0x000001AA17107D08>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.557465017,0.5,0.191560359,0.629629641,<function relu at 0x000001AA17107D08>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.557580173,0.5,0.242334242,0.592592598,<function relu at 0x000001AA17107D08>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.557659805,0.75,0.252196908,0.592592597,<function relu at 0x000001AA17107D08>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.558064818,1,0.245963201,0.592592597,<function relu at 0x000001AA17107D08>,30,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.558076382,0.5,0.25484851,0.592592597,<function relu at 0x000001AA17107D08>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.558231175,0.5,0.255169421,0.629629612,<function relu at 0x000001AA17107D08>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.5584355,0.5,0.255036533,0.518518507,<function relu at 0x000001AA17107D08>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.55844605,0.5,0.271675603,0.629629622,<function relu at 0x000001AA17107D08>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.558546185,0.75,0.21986692,0.62962963,<function relu at 0x000001AA17107D08>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.558836937,0.75,0.24365344,0.592592587,<function relu at 0x000001AA17107D08>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.559448302,0.5,0.221389746,0.629629633,<function relu at 0x000001AA17107D08>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.559869289,0.5,0.242244395,0.629629652,<function relu at 0x000001AA17107D08>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.560126483,0.5,0.225429687,0.592592606,<function relu at 0x000001AA17107D08>,10,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.560255706,0.5,0.1880835,0.629629641,<function relu at 0x000001AA17107D08>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.560415268,0.5,0.223423145,0.592592617,<function relu at 0x000001AA17107D08>,10,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.560658395,0.5,0.231724158,0.666666687,<function relu at 0x000001AA17107D08>,30,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.561352074,0.5,0.238208781,0.555555574,<function relu at 0x000001AA17107D08>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.561677992,0.5,0.250707656,0.592592597,<function relu at 0x000001AA17107D08>,30,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.561789215,0.75,0.233806331,0.629629619,<function relu at 0x000001AA17107D08>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.56186831,0.5,0.230602518,0.629629612,<function relu at 0x000001AA17107D08>,30,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.562123775,0.5,0.241090526,0.518518525,<function relu at 0x000001AA17107D08>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
